Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Filename,Bike Weight,Elapsed Time.1,Moving Time,Distance.1,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Max Cadence,Average Cadence,Max Heart Rate.1,Average Heart Rate,Average Watts,Calories,Relative Effort.1,Weighted Average Power,Power Count,Prefer Perceived Exertion,Commute.1,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Flagged,Average Elapsed Speed,Dirt Distance,Total Steps,Carbon Saved,Training Load,Intensity,Average Grade Adjusted Pace,Total Cycles,Recovery,Media,Runner
12570967747,"Oct 4, 2024, 9:15:27 AM",first 8k in 서울!,Run,post lift donut & post run meal😁,2673,8.08,198.0,177.0,False,activities/13403136257.fit.gz,,2673.0,2670.0,8080.7,4.548,3.026,13.2,7.4,72.8,78.6,4.0,0.1,,,198.0,186.0,209.0,480.0,177.0,208.0,2674.0,0.0,0.0,1.0,8098.4,1728032384.0,1.0,19.6,18.7,9.8,0.53,1023.3,1.6,3.7,318.0,0.0,1727991040.0,1728033024.0,0.125,0.0,1.0,0.04,27086.0,0.0,0.0,3.023,0.0,7506.0,,265.0,189.0,3.033,,,media/721A5EA8-8F4A-44D9-8CCD-8A5294B04EF4.jpg|media/5B93B29E-E137-41F8-B87E-D090D3CC8EB9.jpg|media/D1FAEFC9-D6CA-4544-906B-22B7EB194468.jpg|media/E34BAD4C-BE38-4532-A80F-6EEC6B98DB9B.jpg,Annie
12596929521,"Oct 7, 2024, 5:18:02 AM",Afternoon Weight Training,Weight Training,,4971,0.0,144.0,13.0,False,activities/13430165222.fit.gz,,4971.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,144.0,101.0,,323.0,13.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,Annie
12603759550,"Oct 8, 2024, 8:07:32 AM",Afternoon Weight Training,Weight Training,,3989,0.0,124.0,9.0,False,activities/13437450114.fit.gz,,3989.0,3989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,124.0,95.0,,244.0,9.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,Annie
12642422633,"Oct 11, 2024, 8:51:31 PM",morning hike at 한라산!,Hike,watch died 5 hours in 😢 but hiked the highest mountain in korea! the hike back down was actually worst than the way up but lite work no reaction (i slipped),26349,17.29,187.0,358.0,False,activities/13478920533.fit.gz,,26349.0,18683.0,17293.9,4.816,0.926,1592.8,922.8,0.0,1923.8,50.0,4.6,,,187.0,146.0,,1993.0,358.0,,,0.0,0.0,1.0,,1728676864.0,2.0,12.9,12.0,10.6,0.86,1021.4,2.0,3.4,63.0,0.0,1728682624.0,1728723840.0,0.375,0.02,5.0,0.45,20289.4,0.0,0.0,0.656,15879.6,26744.0,,,,,26744.0,,media/A7EEE22A-18CA-486E-A1DD-DEF8B81DE630.jpg|media/E0E3D0A9-A1AF-440E-BCEF-C65937397B53.mp4|media/EEEEE00C-DC0B-4BC8-8FB8-CC666CEAD0C2.jpg|media/D5444BD4-2DEB-47B8-AB69-98844B39EC59.mp4|media/9E09934A-C9A4-48FC-A94A-DCA85C6C3823.jpg|media/8C90D0B5-C576-47B8-97BB-D72F65AE21F5.jpg|media/CB717A6F-A58D-47C3-94C2-ADBFE89F04B2.jpg|media/16E293AB-55B0-4486-A970-4629F38BF9CD.jpg|media/278EF18D-BD69-4377-9B52-2803EDDA4558.jpg|media/B915F9FD-EB14-42C5-91D5-9B2CDBDAE8E6.jpg|media/5D5C754C-D9F1-4C60-853D-1D68FDFE3549.jpg,Annie
12668840435,"Oct 16, 2024, 9:55:19 AM",Evening Walk,Walk,,5774,5.83,153.0,14.0,False,activities/13507278280.fit.gz,,5774.0,4106.0,5836.1,5.223,1.421,201.4,240.6,0.0,98.2,48.5,-0.6,,,153.0,112.0,,303.0,14.0,,,,0.0,1.0,,1729069184.0,1.0,19.9,19.5,12.7,0.63,1022.3,1.4,2.9,295.0,0.0,1729028480.0,1729068800.0,0.375,0.0,1.0,0.22,23141.3,0.0,0.0,1.011,0.0,6938.0,,,,,,,,Annie
12676316842,"Oct 17, 2024, 8:57:30 AM",Afternoon Weight Training,Weight Training,,3307,0.0,137.0,10.0,False,activities/13515247517.fit.gz,,3307.0,3307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,137.0,111.0,,235.0,10.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,Annie
12690366710,"Oct 19, 2024, 7:11:45 AM",Afternoon Weight Training,Weight Training,,4026,0.0,177.0,38.0,False,activities/13530306092.fit.gz,,4026.0,4026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,177.0,133.0,,463.0,38.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,Annie
12706761135,"Oct 21, 2024, 5:21:06 AM",Afternoon Weight Training,Weight Training,,4761,0.0,155.0,15.0,False,activities/13547995728.fit.gz,,4761.0,4761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,155.0,109.0,,356.0,15.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,Annie
12714217204,"Oct 22, 2024, 5:18:31 AM",Afternoon Weight Training,Weight Training,,3169,0.0,139.0,9.0,False,activities/13555992992.fit.gz,,3169.0,3169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,139.0,108.0,,225.0,9.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,Annie
12723189147,"Oct 23, 2024, 6:13:43 AM",Afternoon Weight Training,Weight Training,,4395,0.0,180.0,53.0,False,activities/13565566434.fit.gz,,4395.0,4395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,180.0,137.0,,533.0,53.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,Annie
12730714508,"Oct 24, 2024, 3:03:21 AM",Lunch Weight Training,Weight Training,,4533,0.0,159.0,17.0,False,activities/13573616610.fit.gz,,4533.0,4533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,159.0,113.0,,360.0,17.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,Annie
12732677514,"Oct 24, 2024, 9:08:41 AM",first half in Korea🚶🏻‍♂️‍➡️,Run,"[strava://athletes/114260719/16]Matthew Tekimang close enough 😭, the last 3 miles made me see god",7951,20.98,190.0,508.0,False,activities/13575742476.fit.gz,,7951.0,7947.0,20984.4,3.902,2.641,46.8,43.2,69.2,77.2,5.9,0.0,,,190.0,178.0,184.0,1337.0,508.0,184.0,7952.0,0.0,0.0,1.0,21062.0,,,,,,,,,,,,,,,,,,,,0.0,2.639,0.0,22330.0,,617.0,167.0,2.65,,,media/99763D7C-465C-48A9-928E-4999CF7828C2.jpg|media/FF331386-D293-470A-AE8A-A032E23D26BD.jpg|media/DA8BFF55-D7A6-4554-A729-18C5E98AAF60.jpg|media/5B0EE178-27BC-4707-AD78-180ED908E633.jpg|media/51FC0874-35B8-4F64-9341-8D8E24AA7C89.jpg|media/E4214B44-0F44-448F-A9F6-A94ED313A4E2.jpg|media/C2C455C0-099F-4A24-AB6E-6448B9ECB5D5.jpg|media/AE384039-E64A-4543-A02A-2E2317B6B3C7.jpg|media/8B8EF843-AED3-40C0-838C-4087BB890660.jpg|media/E570C2BD-6584-47A1-B99D-742EBECA4741.jpg,Annie
12755674050,"Oct 27, 2024, 5:15:10 AM",Afternoon Hike @ Mount Gwanaksan,Hike,,12344,4.2,,,False,activities/12755674050.gpx,,12344.0,5898.0,4200.4,2.148,0.712,464.3,464.1,201.6,619.7,49.8,0.0,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.34,4200.4,7872.0,,,,,7872.0,,media/54D80B26-5457-4505-ADC3-5AD00EF5B5BB.jpg|media/98B48D41-C1EE-4CD0-9405-2A8A8A9EA9B4.jpg|media/9EC2EB66-D8D5-46D3-943E-AF46B15B16FE.jpg,Annie
12762603295,"Oct 28, 2024, 5:08:49 AM",Afternoon Weight Training,Weight Training,,3164,0.0,,,False,activities/12762603295.gpx,,3164.0,3164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,46.0,,,Annie
12770435559,"Oct 29, 2024, 5:23:41 AM",Afternoon Weight Training,Weight Training,,2713,0.0,,,False,activities/12770435559.gpx,,2713.0,2713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,112.0,,,Annie
12777774636,"Oct 29, 2024, 11:42:07 PM",Morning Walk,Walk,,1528,1.62,145.0,6.0,False,activities/13624452349.fit.gz,,1528.0,1254.0,1621.5,2.893,1.293,69.0,37.2,56.6,102.6,26.4,1.9,,,145.0,127.0,,112.0,6.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,1.061,0.0,1002.0,,,,,,,,Annie
12782822890,"Oct 30, 2024, 5:05:22 AM",Afternoon Weight Training,Weight Training,,4425,0.0,144.0,13.0,False,activities/13629882117.fit.gz,,4425.0,4425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,144.0,107.0,,314.0,13.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,Annie
12782822961,"Oct 30, 2024, 9:43:28 AM",Evening Walk,Walk,,1851,2.77,150.0,8.0,False,activities/13629882148.fit.gz,,1851.0,1851.0,2773.3,2.688,1.498,45.4,100.8,46.6,107.0,22.4,-2.0,,,150.0,111.0,,162.0,8.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,1.498,0.0,2948.0,,,,,,,,Annie
12808370843,"Nov 2, 2024, 10:03:14 PM",Morning walk with monk😁,Hike,,929,0.88,152.0,4.0,False,activities/13657409794.fit.gz,,929.0,929.0,887.8,1.45,0.956,30.0,43.8,37.0,80.8,47.0,-1.6,,,152.0,115.0,,65.0,4.0,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.956,0.0,848.0,,,,,848.0,,media/28C61A79-8FB3-4416-95E9-7ABA069D2BB2.jpg|media/04B2AB6E-EFCA-42FE-A3FE-400A90635D9A.jpg|media/A945E766-F89E-4DEF-B440-FA467BA0DDFE.jpg|media/2BE87B4B-CDA0-497E-855A-60E738999FCF.jpg|media/1B6A16CE-146F-49C3-872C-4B3380B3A2DE.mp4,Annie
12819040703,"Nov 4, 2024, 5:54:44 AM",Afternoon Weight Training,Weight Training,,3052,0.0,143.0,10.0,False,activities/13668909937.fit.gz,,3052.0,3052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,143.0,114.0,,235.0,10.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,Annie
12874433777,"Nov 11, 2024, 5:14:09 AM",Afternoon Weight Training,Weight Training,,3020,0.0,182.0,40.0,False,activities/13728432229.fit.gz,,3020.0,3020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,182.0,139.0,,348.0,40.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,Annie
12875014250,"Nov 11, 2024, 11:25:55 AM",Evening Run,Run,,4767,3.75,183.0,36.0,False,activities/13729056055.fit.gz,,4767.0,1460.0,3753.9,9.911,2.571,112.8,159.4,1.0,77.0,40.2,-1.0,,,183.0,151.0,181.0,229.0,36.0,154.0,2609.0,,0.0,1.0,4630.8,,,,,,,,,,,,,,,,,,,,0.0,0.787,0.0,4952.0,,142.0,140.0,3.172,,,,Annie
12880783371,"Nov 12, 2024, 4:31:56 AM",Afternoon Weight Training,Weight Training,,4123,0.0,157.0,15.0,False,activities/13735218485.fit.gz,,4123.0,4123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,157.0,113.0,,321.0,15.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,Annie
12897767999,"Nov 14, 2024, 9:59:44 AM",Evening Run,Run,,2107,5.95,197.0,116.0,False,activities/13753435077.fit.gz,,2107.0,2103.0,5949.9,4.3,2.829,41.8,42.2,1.0,13.6,8.2,0.0,,,197.0,175.0,195.0,352.0,116.0,196.0,2108.0,0.0,0.0,1.0,5998.7,,,,,,,,,,,,,,,,,,,,0.0,2.824,0.0,5808.0,,185.0,178.0,2.852,,,media/EB9E1566-B32E-4446-815D-B2BAF10EB093.jpg|media/60FD6F41-0D9E-4CAC-B69A-58B0DF4C4870.jpg|media/C2C0EDBA-E4B5-456D-B113-1A722EE92741.jpg|media/8E5782AA-844F-40D7-91AC-ED8434FC4E9A.jpg,Annie
12926630440,"Nov 18, 2024, 4:11:46 AM",Afternoon Weight Training,Weight Training,,2498,0.0,145.0,8.0,False,activities/13784564656.fit.gz,,2498.0,2498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,145.0,115.0,,196.0,8.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,Annie
12934859791,"Nov 19, 2024, 8:06:03 AM",Afternoon Weight Training,Weight Training,,4414,0.0,152.0,14.0,False,activities/13793429882.fit.gz,,4414.0,4414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,152.0,109.0,,328.0,14.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,Annie
12942071649,"Nov 20, 2024, 5:50:04 AM",Afternoon Weight Training,Weight Training,,2199,0.0,179.0,37.0,False,activities/13801142272.fit.gz,,2199.0,2199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,179.0,144.0,,291.0,37.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,Annie
12984589051,"Nov 26, 2024, 4:00:47 AM",Afternoon Weight Training,Weight Training,last one at snu😢,3100,0.0,152.0,12.0,False,activities/13846281796.fit.gz,,3100.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,152.0,116.0,,251.0,12.0,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,Annie
13049331657,"Dec 4, 2024, 9:50:35 AM",Evening Walk,Walk,,2035,2.66,146.0,6.0,False,activities/13915584637.fit.gz,,2035.0,1917.0,2668.3,2.607,1.392,44.2,99.2,44.4,107.8,29.3,-2.1,,,146.0,112.0,,144.0,6.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,1.311,0.0,4736.0,,,,,,,,Annie
13059415079,"Dec 6, 2024, 6:42:23 AM",Afternoon Walk,Walk,,12802,2.82,132.0,6.0,False,activities/13926377227.fit.gz,,12802.0,2101.0,2825.4,7.133,1.345,63.8,118.2,-33.8,29.4,49.9,-0.4,,,132.0,106.0,,175.0,6.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.221,0.0,6546.0,,,,,,,,Annie
13091698087,"Dec 11, 2024, 9:22:02 AM",Evening Run,Run,it was 30 degrees😭,1556,4.93,,,False,activities/13091698087.gpx,,1556.0,1556.0,4932.2,4.8,3.17,0.0,0.0,76.8,77.0,1.0,0.0,,,,,,,,,,0.0,0.0,1.0,4933.7,,,,,,,,,,,,,,,,,,,,0.0,3.17,0.0,4224.0,,,,3.171,,,media/7B24F3ED-6011-4D03-90A2-A754D492010F.jpg|media/DB411850-0026-49F8-99D6-F2B105874E0B.jpg,Annie
13204445462,"Dec 27, 2024, 8:23:52 PM",Night Walk,Walk,,10288,5.18,149.0,15.0,False,activities/14081932979.fit.gz,,10288.0,4219.0,5184.0,3.32,1.229,52.0,62.0,0.0,685.0,25.6,-0.3,,,149.0,113.0,,294.0,15.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.504,165.8,7250.0,,,,,,,,Annie
13496417845,"Jan 30, 2025, 9:28:40 PM",Afternoon Run,Run,first run back in philly🧍🏻‍♂️,1409,4.29,199.0,90.0,False,activities/14397211812.fit.gz,,1409.0,1404.0,4293.9,5.62,3.058,62.4,68.6,1.4,25.4,24.1,-0.1,,,199.0,183.0,224.0,282.0,90.0,224.0,1410.0,0.0,0.0,1.0,4414.7,,,,,,,,,,,,,,,,,,,,0.0,3.047,122.0,3942.0,,162.0,204.0,3.144,,,,Annie
13502383498,"Jan 31, 2025, 4:14:15 PM",Lunch Run,Run,pre run coffee with [strava://athletes/157719569/9]Anna Chan & class @12,1029,3.24,203.0,43.0,False,activities/14403747436.fit.gz,,1029.0,1026.0,3244.8,4.98,3.163,29.2,52.6,2.4,32.4,19.0,-0.7,,,203.0,170.0,228.0,213.0,43.0,229.0,1030.0,0.0,0.0,1.0,3261.4,,,,,,,,,,,,,,,,,,,,0.0,3.153,105.7,2846.0,,123.0,208.0,3.179,,,media/5B86CBCE-5EC8-421E-8550-3EADA1F3F558.jpg,Annie
